Subject_name,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Film Television and New Media,84.24,83.54,82.8,82.05,81.26,80.45,79.61,78.75,77.86,76.94,76,75.03,74.04,73.02,71.98,70.91,69.82,68.7,67.56,66.41,65.23,64.03,62.81,61.58,60.34,59.08,57.8,56.52,55.23,53.93,52.63,51.32,50.01,48.7,47.4,46.09,44.79,43.5,42.22,40.95,39.69,38.44,37.21,35.99,34.8,33.62,32.46,31.32,30.21,29.11,28.04,27,25.98,24.99,24.02,23.07,22.16,21.27,20.4,19.57,18.75,17.97,17.21,16.48,15.77,15.09,14.43,13.79,13.18,12.59,12.03,11.48,10.96,10.46,9.98,9.52,9.08,8.66,8.25,7.86,7.49,7.14,6.8,6.47,6.16,5.87,5.58,5.31,5.06,4.81,4.58,4.35,4.14,3.94,3.74,3.56,3.38,3.22,3.06,2.91,2.76
Food and Nutrition,87.09,86.54,85.98,85.39,84.79,84.16,83.51,82.84,82.15,81.44,80.71,79.96,79.18,78.38,77.56,76.72,75.86,74.97,74.06,73.13,72.19,71.22,70.23,69.22,68.19,67.15,66.09,65.01,63.91,62.8,61.68,60.55,59.4,58.24,57.08,55.9,54.72,53.54,52.35,51.16,49.96,48.77,47.58,46.39,45.2,44.02,42.85,41.68,40.52,39.38,38.24,37.12,36.02,34.92,33.84,32.78,31.74,30.71,29.71,28.72,27.75,26.8,25.88,24.97,24.09,23.23,22.39,21.57,20.77,19.99,19.24,18.51,17.8,17.11,16.45,15.8,15.17,14.57,13.99,13.42,12.88,12.35,11.84,11.35,10.88,10.43,9.99,9.57,9.16,8.77,8.4,8.04,7.69,7.36,7.04,6.73,6.44,6.16,5.89,5.63,5.38
French,98.74,98.62,98.49,98.35,98.19,98.02,97.83,97.63,97.4,97.16,96.9,96.61,96.29,95.95,95.57,95.17,94.73,94.25,93.73,93.16,92.55,91.89,91.18,90.41,89.58,88.69,87.73,86.71,85.61,84.44,83.19,81.86,80.45,78.96,77.39,75.74,74.01,72.2,70.31,68.35,66.33,64.24,62.1,59.91,57.68,55.41,53.13,50.83,48.53,46.23,43.95,41.7,39.48,37.3,35.17,33.1,31.1,29.16,27.29,25.5,23.79,22.16,20.62,19.15,17.76,16.46,15.23,14.08,13,11.99,11.06,10.18,9.37,8.62,7.92,7.27,6.68,6.12,5.62,5.15,4.72,4.32,3.95,3.62,3.31,3.03,2.77,2.53,2.31,2.11,1.93,1.77,1.61,1.47,1.34,1.23,1.12,1.02,0.93,0.85,0.78
General Mathematics,88.57,88.05,87.51,86.94,86.36,85.75,85.12,84.46,83.79,83.08,82.36,81.61,80.84,80.04,79.22,78.37,77.5,76.6,75.68,74.73,73.77,72.77,71.76,70.72,69.66,68.57,67.47,66.35,65.21,64.05,62.87,61.68,60.47,59.26,58.03,56.79,55.54,54.28,53.02,51.76,50.49,49.22,47.96,46.69,45.43,44.18,42.93,41.69,40.47,39.25,38.05,36.86,35.69,34.53,33.4,32.28,31.18,30.1,29.05,28.01,27,26.01,25.05,24.11,23.19,22.3,21.44,20.59,19.78,18.98,18.22,17.47,16.75,16.06,15.39,14.74,14.11,13.51,12.93,12.37,11.83,11.31,10.81,10.33,9.87,9.43,9,8.6,8.21,7.83,7.47,7.13,6.8,6.49,6.19,5.9,5.62,5.36,5.11,4.87,4.64
Geography,94.83,94.5,94.15,93.78,93.4,92.98,92.55,92.09,91.6,91.09,90.54,89.97,89.37,88.74,88.07,87.37,86.64,85.87,85.06,84.21,83.33,82.41,81.45,80.44,79.4,78.32,77.19,76.03,74.82,73.58,72.3,70.98,69.62,68.23,66.8,65.35,63.86,62.35,60.81,59.25,57.67,56.08,54.47,52.86,51.24,49.61,47.99,46.37,44.76,43.16,41.57,40,38.45,36.92,35.42,33.95,32.51,31.1,29.73,28.39,27.08,25.82,24.59,23.41,22.26,21.16,20.1,19.07,18.09,17.15,16.24,15.38,14.55,13.76,13.01,12.29,11.61,10.96,10.34,9.75,9.19,8.67,8.16,7.69,7.24,6.82,6.42,6.04,5.68,5.34,5.02,4.72,4.44,4.17,3.92,3.68,3.46,3.25,3.05,2.86,2.69
German,98.39,98.23,98.05,97.86,97.64,97.41,97.15,96.87,96.57,96.23,95.86,95.46,95.03,94.55,94.03,93.46,92.84,92.17,91.44,90.66,89.8,88.88,87.89,86.82,85.67,84.44,83.13,81.73,80.24,78.66,76.99,75.23,73.38,71.45,69.43,67.34,65.18,62.95,60.67,58.34,55.97,53.57,51.16,48.74,46.32,43.93,41.56,39.23,36.95,34.72,32.56,30.47,28.46,26.53,24.69,22.93,21.27,19.69,18.21,16.81,15.5,14.27,13.13,12.07,11.08,10.16,9.31,8.52,7.8,7.13,6.51,5.95,5.43,4.95,4.52,4.12,3.75,3.42,3.11,2.83,2.58,2.35,2.13,1.94,1.77,1.61,1.46,1.33,1.21,1.1,1,0.9,0.82,0.75,0.68,0.62,0.56,0.51,0.46,0.42,0.38
Health,88.65,88.12,87.56,86.99,86.39,85.77,85.12,84.45,83.76,83.04,82.3,81.53,80.74,79.92,79.08,78.21,77.31,76.39,75.44,74.47,73.47,72.44,71.4,70.33,69.23,68.12,66.98,65.83,64.65,63.46,62.25,61.02,59.78,58.53,57.26,55.99,54.71,53.42,52.13,50.83,49.54,48.24,46.95,45.66,44.38,43.1,41.84,40.58,39.34,38.11,36.89,35.69,34.51,33.35,32.21,31.09,29.99,28.91,27.85,26.82,25.82,24.84,23.88,22.95,22.05,21.17,20.32,19.49,18.69,17.92,17.17,16.44,15.74,15.07,14.42,13.79,13.18,12.6,12.04,11.5,10.99,10.49,10.01,9.55,9.12,8.69,8.29,7.91,7.54,7.18,6.85,6.52,6.21,5.92,5.64,5.37,5.11,4.86,4.63,4.41,4.19
Italian,96.83,96.6,96.35,96.09,95.81,95.51,95.19,94.85,94.49,94.1,93.68,93.24,92.78,92.28,91.75,91.19,90.59,89.96,89.29,88.58,87.83,87.04,86.2,85.32,84.39,83.42,82.4,81.33,80.21,79.04,77.82,76.55,75.24,73.87,72.45,70.99,69.48,67.94,66.35,64.72,63.05,61.36,59.64,57.89,56.12,54.34,52.55,50.75,48.95,47.15,45.36,43.58,41.81,40.07,38.35,36.66,35.01,33.39,31.8,30.26,28.76,27.31,25.9,24.54,23.23,21.97,20.76,19.6,18.49,17.43,16.41,15.45,14.53,13.66,12.83,12.04,11.3,10.6,9.93,9.31,8.72,8.16,7.64,7.14,6.68,6.24,5.84,5.45,5.09,4.75,4.44,4.14,3.87,3.61,3.36,3.14,2.93,2.73,2.54,2.37,2.21
Japanese,95.88,95.61,95.32,95.02,94.7,94.36,93.99,93.61,93.2,92.77,92.31,91.83,91.32,90.78,90.21,89.61,88.98,88.31,87.61,86.88,86.11,85.3,84.45,83.56,82.63,81.66,80.65,79.59,78.5,77.36,76.18,74.96,73.7,72.4,71.05,69.68,68.26,66.81,65.33,63.81,62.27,60.71,59.12,57.51,55.89,54.25,52.6,50.95,49.3,47.65,46,44.36,42.74,41.12,39.53,37.96,36.42,34.9,33.41,31.96,30.54,29.15,27.81,26.5,25.23,24,22.82,21.67,20.57,19.51,18.49,17.52,16.58,15.69,14.83,14.01,13.24,12.49,11.79,11.12,10.48,9.88,9.3,8.76,8.25,7.76,7.3,6.86,6.45,6.06,5.7,5.35,5.03,4.72,4.43,4.16,3.9,3.66,3.44,3.22,3.02
Korean,93.47,93.14,92.79,92.43,92.06,91.66,91.25,90.82,90.37,89.9,89.41,88.9,88.37,87.82,87.24,86.64,86.02,85.38,84.71,84.01,83.29,82.54,81.77,80.97,80.14,79.29,78.41,77.51,76.57,75.61,74.63,73.62,72.58,71.52,70.43,69.32,68.19,67.03,65.86,64.66,63.45,62.22,60.97,59.71,58.43,57.15,55.85,54.55,53.24,51.92,50.61,49.29,47.97,46.66,45.35,44.04,42.75,41.46,40.19,38.93,37.68,36.45,35.24,34.04,32.87,31.72,30.59,29.48,28.39,27.33,26.3,25.29,24.31,23.35,22.42,21.52,20.64,19.79,18.96,18.17,17.4,16.65,15.93,15.24,14.57,13.93,13.31,12.71,12.14,11.58,11.05,10.55,10.06,9.59,9.14,8.72,8.31,7.91,7.54,7.18,6.83
